Individual,figure,filename,Experiment,treatment,dpf,protocol,clutch,sample purpose
Uni_C6,3,iSeq048-TM-LHamp-141-cREG1-100-100d_S240_L001_R2_001.fastq,45S-M_KO_100dpf,Uninjected,100,lh-amp,C,ref.conformity
Uni_C7,3,iSeq048-TM-LHamp-142-cREG1-100-100d_S241_L001_R1_001.fastq,45S-M_KO_100dpf,Uninjected,100,lh-amp,C,ref.conformity
Uni_C7,3,iSeq048-TM-LHamp-142-cREG1-100-100d_S241_L001_R2_001.fastq,45S-M_KO_100dpf,Uninjected,100,lh-amp,C,ref.conformity
Uni_C8,3,iSeq048-TM-LHamp-143-cREG1-100-100d_S242_L001_R1_001.fastq,45S-M_KO_100dpf,Uninjected,100,lh-amp,C,ref.conformity
Uni_C8,3,iSeq048-TM-LHamp-143-cREG1-100-100d_S242_L001_R2_001.fastq,45S-M_KO_100dpf,Uninjected,100,lh-amp,C,ref.conformity
Uni_C9,3,iSeq048-TM-LHamp-144-cREG1-100-100d_S243_L001_R1_001.fastq,45S-M_KO_100dpf,Uninjected,100,lh-amp,C,ref.conformity
Uni_C9,3,iSeq048-TM-LHamp-144-cREG1-100-100d_S243_L001_R2_001.fastq,45S-M_KO_100dpf,Uninjected,100,lh-amp,C,ref.conformity
Uni_C10,3,iSeq048-TM-LHamp-145-cREG1-100-100d_S244_L001_R1_001.fastq,45S-M_KO_100dpf,Uninjected,100,lh-amp,C,ref.conformity
Uni_C10,3,iSeq048-TM-LHamp-145-cREG1-100-100d_S244_L001_R2_001.fastq,45S-M_KO_100dpf,Uninjected,100,lh-amp,C,ref.conformity
Uni_C11,3,iSeq048-TM-LHamp-146-cREG1-100-100d_S245_L001_R1_001.fastq,45S-M_KO_100dpf,Uninjected,100,lh-amp,C,ref.conformity
Uni_C11,3,iSeq048-TM-LHamp-146-cREG1-100-100d_S245_L001_R2_001.fastq,45S-M_KO_100dpf,Uninjected,100,lh-amp,C,ref.conformity
Uni_C12,3,iSeq048-TM-LHamp-147-cREG1-100-100d_S246_L001_R1_001.fastq,45S-M_KO_100dpf,Uninjected,100,lh-amp,C,ref.conformity
Uni_C12,3,iSeq048-TM-LHamp-147-cREG1-100-100d_S246_L001_R2_001.fastq,45S-M_KO_100dpf,Uninjected,100,lh-amp,C,ref.conformity
Uni_C13,3,iSeq048-TM-LHamp-148-cREG1-100-100d_S247_L001_R1_001.fastq,45S-M_KO_100dpf,Uninjected,100,lh-amp,C,ref.conformity
Uni_C13,3,iSeq048-TM-LHamp-148-cREG1-100-100d_S247_L001_R2_001.fastq,45S-M_KO_100dpf,Uninjected,100,lh-amp,C,ref.conformity
Uni_C14,3,iSeq048-TM-LHamp-149-cREG1-100-100d_S248_L001_R1_001.fastq,45S-M_KO_100dpf,Uninjected,100,lh-amp,C,ref.conformity
Uni_C14,3,iSeq048-TM-LHamp-149-cREG1-100-100d_S248_L001_R2_001.fastq,45S-M_KO_100dpf,Uninjected,100,lh-amp,C,ref.conformity
KO_B1,3,iSeq048-TM-LHamp-150-cREG1-100-100d_S249_L001_R1_001.fastq,45S-M_KO_100dpf,cas9-guide RNP (3 guides targeting 45S-M promoter),100,lh-amp,B,ref.conformity
KO_B1,3,iSeq048-TM-LHamp-150-cREG1-100-100d_S249_L001_R2_001.fastq,45S-M_KO_100dpf,cas9-guide RNP (3 guides targeting 45S-M promoter),100,lh-amp,B,ref.conformity
KO_B2,3,iSeq048-TM-LHamp-151-cREG1-100-100d_S250_L001_R1_001.fastq,45S-M_KO_100dpf,cas9-guide RNP (3 guides targeting 45S-M promoter),100,lh-amp,B,ref.conformity
KO_B2,3,iSeq048-TM-LHamp-151-cREG1-100-100d_S250_L001_R2_001.fastq,45S-M_KO_100dpf,cas9-guide RNP (3 guides targeting 45S-M promoter),100,lh-amp,B,ref.conformity
KO_B3,3,iSeq048-TM-LHamp-152-cREG1-100-100d_S251_L001_R1_001.fastq,45S-M_KO_100dpf,cas9-guide RNP (3 guides targeting 45S-M promoter),100,lh-amp,B,ref.conformity
KO_B3,3,iSeq048-TM-LHamp-152-cREG1-100-100d_S251_L001_R2_001.fastq,45S-M_KO_100dpf,cas9-guide RNP (3 guides targeting 45S-M promoter),100,lh-amp,B,ref.conformity
KO_B4,3,iSeq048-TM-LHamp-153-cREG1-100-100d_S252_L001_R1_001.fastq,45S-M_KO_100dpf,cas9-guide RNP (3 guides targeting 45S-M promoter),100,lh-amp,B,ref.conformity
KO_B4,3,iSeq048-TM-LHamp-153-cREG1-100-100d_S252_L001_R2_001.fastq,45S-M_KO_100dpf,cas9-guide RNP (3 guides targeting 45S-M promoter),100,lh-amp,B,ref.conformity
KO_B5,3,iSeq048-TM-LHamp-154-cREG1-100-100d_S253_L001_R1_001.fastq,45S-M_KO_100dpf,cas9-guide RNP (3 guides targeting 45S-M promoter),100,lh-amp,B,ref.conformity
KO_B5,3,iSeq048-TM-LHamp-154-cREG1-100-100d_S253_L001_R2_001.fastq,45S-M_KO_100dpf,cas9-guide RNP (3 guides targeting 45S-M promoter),100,lh-amp,B,ref.conformity
KO_B6,3,iSeq048-TM-LHamp-155-cREG1-100-100d_S254_L001_R1_001.fastq,45S-M_KO_100dpf,cas9-guide RNP (3 guides targeting 45S-M promoter),100,lh-amp,B,ref.conformity
KO_B6,3,iSeq048-TM-LHamp-155-cREG1-100-100d_S254_L001_R2_001.fastq,45S-M_KO_100dpf,cas9-guide RNP (3 guides targeting 45S-M promoter),100,lh-amp,B,ref.conformity
KO_B7,3,iSeq048-TM-LHamp-156-cREG1-100-100d_S255_L001_R1_001.fastq,45S-M_KO_100dpf,cas9-guide RNP (3 guides targeting 45S-M promoter),100,lh-amp,B,ref.conformity
KO_B7,3,iSeq048-TM-LHamp-156-cREG1-100-100d_S255_L001_R2_001.fastq,45S-M_KO_100dpf,cas9-guide RNP (3 guides targeting 45S-M promoter),100,lh-amp,B,ref.conformity
KO_B8,3,iSeq048-TM-LHamp-157-cREG1-100-100d_S256_L001_R1_001.fastq,45S-M_KO_100dpf,cas9-guide RNP (3 guides targeting 45S-M promoter),100,lh-amp,B,ref.conformity
KO_B8,3,iSeq048-TM-LHamp-157-cREG1-100-100d_S256_L001_R2_001.fastq,45S-M_KO_100dpf,cas9-guide RNP (3 guides targeting 45S-M promoter),100,lh-amp,B,ref.conformity
KO_B9,3,iSeq048-TM-LHamp-158-cREG1-100-100d_S257_L001_R1_001.fastq,45S-M_KO_100dpf,cas9-guide RNP (3 guides targeting 45S-M promoter),100,lh-amp,B,ref.conformity
KO_B9,3,iSeq048-TM-LHamp-158-cREG1-100-100d_S257_L001_R2_001.fastq,45S-M_KO_100dpf,cas9-guide RNP (3 guides targeting 45S-M promoter),100,lh-amp,B,ref.conformity
KO_B10,3,iSeq048-TM-LHamp-159-cREG1-100-100d_S258_L001_R1_001.fastq,45S-M_KO_100dpf,cas9-guide RNP (3 guides targeting 45S-M promoter),100,lh-amp,B,ref.conformity
