Individual,figure,filename,Experiment,treatment,dpf,protocol,clutch,sample purpose
Uni_A11,3,iSeq048-TM-LHamp-176-cREG1-100-100d_S275_L001_R1_001.fastq,45S-M_KO_100dpf,Uninjected,100,lh-amp,A,ref.conformity
Uni_A11,3,iSeq048-TM-LHamp-176-cREG1-100-100d_S275_L001_R2_001.fastq,45S-M_KO_100dpf,Uninjected,100,lh-amp,A,ref.conformity
Uni_A12,3,iSeq048-TM-LHamp-177-cREG1-100-100d_S276_L001_R1_001.fastq,45S-M_KO_100dpf,Uninjected,100,lh-amp,A,ref.conformity
Uni_A12,3,iSeq048-TM-LHamp-177-cREG1-100-100d_S276_L001_R2_001.fastq,45S-M_KO_100dpf,Uninjected,100,lh-amp,A,ref.conformity
Uni_A13,3,iSeq048-TM-LHamp-178-cREG1-100-100d_S277_L001_R1_001.fastq,45S-M_KO_100dpf,Uninjected,100,lh-amp,A,ref.conformity
Uni_A13,3,iSeq048-TM-LHamp-178-cREG1-100-100d_S277_L001_R2_001.fastq,45S-M_KO_100dpf,Uninjected,100,lh-amp,A,ref.conformity
Uni_A14,3,iSeq048-TM-LHamp-179-cREG1-100-100d_S278_L001_R1_001.fastq,45S-M_KO_100dpf,Uninjected,100,lh-amp,A,ref.conformity
Uni_A14,3,iSeq048-TM-LHamp-179-cREG1-100-100d_S278_L001_R2_001.fastq,45S-M_KO_100dpf,Uninjected,100,lh-amp,A,ref.conformity
Uni_A15,3,iSeq048-TM-LHamp-180-cREG1-100-100d_S279_L001_R1_001.fastq,45S-M_KO_100dpf,Uninjected,100,lh-amp,A,ref.conformity
Uni_A15,3,iSeq048-TM-LHamp-180-cREG1-100-100d_S279_L001_R2_001.fastq,45S-M_KO_100dpf,Uninjected,100,lh-amp,A,ref.conformity
Uni_A16,3,iSeq048-TM-LHamp-181-cREG1-100-100d_S280_L001_R1_001.fastq,45S-M_KO_100dpf,Uninjected,100,lh-amp,A,ref.conformity
Uni_A16,3,iSeq048-TM-LHamp-181-cREG1-100-100d_S280_L001_R2_001.fastq,45S-M_KO_100dpf,Uninjected,100,lh-amp,A,ref.conformity
KO_A1,3,iSeq048-TM-LHamp-182-cREG1-100-100d_S281_L001_R1_001.fastq,45S-M_KO_100dpf,cas9-guide RNP (3 guides targeting 45S-M promoter),100,lh-amp,A,ref.conformity
KO_A1,3,iSeq048-TM-LHamp-182-cREG1-100-100d_S281_L001_R2_001.fastq,45S-M_KO_100dpf,cas9-guide RNP (3 guides targeting 45S-M promoter),100,lh-amp,A,ref.conformity
KO_A2,3,iSeq048-TM-LHamp-183-cREG1-100-100d_S282_L001_R1_001.fastq,45S-M_KO_100dpf,cas9-guide RNP (3 guides targeting 45S-M promoter),100,lh-amp,A,ref.conformity
KO_A2,3,iSeq048-TM-LHamp-183-cREG1-100-100d_S282_L001_R2_001.fastq,45S-M_KO_100dpf,cas9-guide RNP (3 guides targeting 45S-M promoter),100,lh-amp,A,ref.conformity
KO_A3,3,iSeq048-TM-LHamp-184-cREG1-100-100d_S283_L001_R1_001.fastq,45S-M_KO_100dpf,cas9-guide RNP (3 guides targeting 45S-M promoter),100,lh-amp,A,ref.conformity
KO_A3,3,iSeq048-TM-LHamp-184-cREG1-100-100d_S283_L001_R2_001.fastq,45S-M_KO_100dpf,cas9-guide RNP (3 guides targeting 45S-M promoter),100,lh-amp,A,ref.conformity
KO_A4,3,iSeq048-TM-LHamp-185-cREG1-100-100d_S284_L001_R1_001.fastq,45S-M_KO_100dpf,cas9-guide RNP (3 guides targeting 45S-M promoter),100,lh-amp,A,ref.conformity
KO_A4,3,iSeq048-TM-LHamp-185-cREG1-100-100d_S284_L001_R2_001.fastq,45S-M_KO_100dpf,cas9-guide RNP (3 guides targeting 45S-M promoter),100,lh-amp,A,ref.conformity
